date,rate,prediction
1997-04-11,84.66,-205.76738775030884
1997-04-18,84.66,-199.67661115341633
1997-04-25,84.72,-195.28910825200313
1997-05-02,85.05,-202.15980783432434
1997-05-09,84.48,-193.85889038867828
1997-05-16,84.48,-198.62476897942582
1997-05-23,84.96,-195.61592450099255
1997-05-30,84.52,-196.3657852138188
1997-06-13,84.44,-197.85753273556867
1997-06-20,84.4,-195.45293351502113
1997-06-27,84.32,-201.99372506368746
1997-07-04,83.8,-193.1496881255519
1997-07-11,83.3,-189.38119278833125
1997-07-18,82.76,-189.0413598960293
1997-07-25,82.48,-185.86708639666784
1997-08-01,82.48,-185.1941910904779
1997-08-08,82.26,-185.140265300056
1997-08-15,81.85,-190.08984158896573
1997-08-22,81.38,-178.77285125111342
1997-08-29,80.15,-185.06433929368944
1997-09-05,81.79,-165.64646358219733
1997-09-12,81.2,-171.88494173383168
1997-09-26,81.68,-172.1371337368584
1997-10-03,82.0,-168.1784651268576
1997-10-10,81.49,-169.26174523055096
1997-10-17,81.57,-165.54929623875495
1997-10-24,81.93,-158.7345085667045
1997-10-31,81.61,-166.1240697864627
1997-11-07,80.02,-153.24054849319913
1997-11-14,79.53,-163.3331510017917
1997-11-21,78.32,-160.8235129677343
1997-11-28,77.9,-159.12210439417464
1997-12-05,77.12,-161.00651922231174
1997-12-12,75.72,-154.35602934578748
1997-12-19,75.5,-154.22613322080912
1997-12-26,74.425,-151.84924177884267
1998-01-02,75.67,-187.7343210538798
1998-01-09,75.5,-186.69676548336446
1998-01-16,75.58,-184.412031727719
1998-01-23,81.05,-193.82260138709984
1998-01-30,80.76,-173.95954940553708
1998-02-06,82.3,-182.64336176873718
1998-02-13,83.68,-176.59020504527479
1998-02-20,83.84,-177.30859935589086
1998-02-27,84.4,-177.7211681040465
1998-03-06,84.16,-174.51535447465034
1998-03-13,84.5,-176.44994740794078
1998-03-20,84.3,-173.7207453345655
1998-03-27,84.7,-174.46755646032847
1998-04-03,85.5,-175.47252651192304
1998-04-10,84.44,-179.8451454472999
1998-04-24,84.64,-180.96907448398332
1998-05-01,84.76,-170.8173311768242
1998-05-08,85.8,-177.6316947724452
1998-05-15,87.3,-175.56427150665132
1998-05-22,87.12,-168.64854148025069
1998-05-29,88.96,-165.31391617075843
1998-06-05,90.4,-164.45193063681194
1998-06-12,87.42,-169.5690814959957
1998-06-19,86.0,-167.2192214467878
1998-06-26,86.16,-155.74500175868496
1998-07-03,85.4,-160.8867795824679
1998-07-10,85.76,-155.07283881947643
1998-07-17,85.22,-146.88643189732483
1998-07-24,85.7,-148.84948444174296
1998-08-07,86.6,-143.48163982016825
1998-08-14,86.18,-145.27485086190887
1998-08-21,86.62,-145.59432563185146
1998-08-28,88.94,-142.5535912979458
1998-09-04,91.0,-132.00949620523858
1998-09-11,88.0,-145.1531791538443
1998-09-25,90.0,-135.24276084770895
1998-10-02,86.0,-133.88118991052664
1998-10-09,90.8,-129.75233784437143
1998-10-16,91.8,-124.94590757032933
1998-10-23,91.5,-129.76020887280345
1998-10-30,89.0,-126.94954498424107
1998-11-20,90.0,-117.77639178232045
1998-12-04,85.7,-118.77037482636268
1998-12-11,85.9,-115.84764684366121
1998-12-18,87.0,-107.98043954138308
1998-12-25,91.5,-114.10749944330581
1999-01-08,96.75,-143.62841344826563
1999-01-15,90.9,-140.6228637115941
1999-01-22,94.0,-140.2224599157044
1999-01-29,87.3,-147.9295629059945
1999-02-05,86.6,-145.7555002838945
1999-02-12,86.7,-135.94283387170037
1999-02-19,87.5,-116.92126372548086
1999-02-26,86.5,-129.9542578052645
1999-03-05,87.8,-111.38023814023188
1999-03-12,87.5,-119.21496069086959
1999-03-19,88.64,-109.35964553224437
1999-03-26,91.14,-123.9144474850624
1999-04-02,91.2,-114.03370949048218
1999-04-09,91.5,-131.35010757038293
1999-04-16,92.88,-121.75835408105064
1999-04-23,93.8,-137.6674965130013
1999-04-30,94.02,-135.19419565650253
1999-05-07,98.5,-137.502239044153
1999-05-14,105.88,-139.48682328900355
1999-05-21,105.32,-118.5612062401579
1999-05-28,99.19,-147.15895170296932
1999-06-04,97.62,-116.67689015929398
1999-06-11,97.35,-122.40239843825253
1999-06-18,98.45,-115.8682688031991
1999-06-25,101.21,-124.21527501708994
1999-07-02,101.44,-101.07681523631283
1999-07-09,101.55,-108.87323370581902
1999-07-16,101.35,-102.37511491403131
1999-07-23,101.44,-109.10473168549333
1999-07-30,99.4,-115.37936948977648
1999-08-06,100.16,-101.62523110646549
1999-08-13,97.94,-104.69782745595472
1999-08-20,97.83,-91.50278486685016
1999-08-27,98.39,-122.14287608370233
1999-09-03,97.5,-100.00208420276647
1999-09-10,95.62,-127.57267320267033
1999-09-17,94.77,-87.47060394166903
1999-09-24,94.0,-113.12828559147749
1999-10-01,94.8,-99.66391337968821
1999-10-08,94.54,-102.0775392254235
1999-10-15,95.51,-94.88853730850656
1999-10-22,95.0,-97.299786073402
1999-10-29,95.25,-84.66391105461952
1999-11-05,95.7,-84.68568590740205
1999-11-12,96.7,-92.70046834858567
1999-11-19,96.7,-96.98153404359147
1999-11-26,97.4,-94.73368954230779
1999-12-03,97.2,-89.63170507724044
1999-12-10,97.1,-91.28391108245188
1999-12-17,97.83,-84.54297840636269
1999-12-24,97.7,-81.93307461932051
1999-12-31,99.4,-86.46233846960388
2000-01-07,99.8,-124.72077910588342
2000-01-14,98.4,-134.26245583650206
2000-01-21,98.6,-140.17268039398454
2000-01-28,99.1,-126.5007858689583
2000-02-04,100.0,-123.54753288966162
2000-02-11,101.5,-123.93835861024957
2000-02-18,101.5,-114.54694483154901
2000-02-25,99.9,-121.57307186627207
2000-03-03,101.2,-117.20243718248167
2000-03-10,101.0,-118.636328274871
2000-03-17,100.85,-117.56662291420196
2000-03-24,101.3,-119.34694259507114
2000-03-31,101.3,-109.08415664010136
2000-04-07,100.9,-110.25522331905051
2000-04-14,100.93,-108.59018611932385
2000-04-21,100.8,-110.3570943651547
2000-04-28,100.5,-108.65031315003677
2000-05-05,100.1,-105.08717288279206
2000-05-12,101.5,-101.59127843361796
2000-05-19,100.5,-104.07855907109013
2000-05-26,102.25,-101.52142769495879
2000-06-02,102.25,-100.85689451789955
2000-06-09,102.8,-94.76625810857706
2000-06-16,103.2,-96.98750069273189
2000-06-23,103.45,-91.83801233065253
2000-06-30,104.75,-93.00036408962706
2000-07-07,104.6,-90.00337529211987
2000-07-14,113.0,-95.94347066416822
2000-07-21,106.35,-91.14771050855455
2000-07-28,105.5,-80.61254196090988
2000-08-04,103.1,-70.32329920092565
2000-08-11,104.5,-67.30526926097542
2000-08-18,103.6,-71.84952965271685
2000-08-25,103.35,-56.01507559261597
2000-09-01,103.4,-57.193535409334004
2000-09-08,104.0,-47.029372172299475
2000-09-15,105.5,-52.97181848117185
2000-09-22,107.7,-56.55593065285677
2000-09-29,108.2,-62.75861679717411
2000-10-06,108.0,-54.2358945570154
2000-10-13,108.0,-64.06979526181715
2000-10-20,106.5,-74.75440552915012
2000-10-27,110.0,-72.23635780364032
2000-11-10,110.2,-65.97574889268827
2000-11-17,111.8,-61.282774133435
2000-11-24,115.1,-63.98878652630776
2000-12-01,115.75,-66.35366804260053
2000-12-08,114.35,-63.91751568597198
2000-12-15,106.0,-65.3042174310151
2000-12-22,110.1,-44.45693487162214
2000-12-29,109.5,-48.276005270405165
2001-01-05,108.73,-75.55418392886139
2001-01-12,109.2,-92.38706150453538
2001-01-19,110.6,-57.73829612782208
2001-01-26,110.75,-68.3517216182214
2001-02-02,110.5,-55.836909287659864
2001-02-09,110.0,-63.323139028775586
2001-02-16,114.0,-74.2893046007892
2001-02-23,113.0,-55.98151358072232
2001-03-02,113.5,-76.86801165854729
2001-03-09,115.0,-57.769736684381826
2001-03-16,117.5,-86.0862785289305
2001-03-23,122.45,-83.3906686660809
2001-03-30,122.0,-73.31090499635553
2001-04-06,124.5,-72.51623278125095
2001-04-13,134.0,-78.18731786973018
2001-04-20,126.0,-71.981906021952
2001-04-27,114.2,-71.39000269444506
2001-05-04,119.5,-39.02446552634575
2001-05-11,113.4,-38.37466210957729
2001-05-18,110.75,-41.55098026326448
2001-05-25,114.2,-22.57498337275689
2001-06-01,112.1,-19.248811457087186
2001-06-08,112.6,-20.55700225312114
2001-06-15,111.1,4.255655565139591
2001-06-22,112.5,-7.023381010120204
2001-06-29,112.3,-18.960124592851514
2001-07-06,111.5,-7.667808002070728
2001-07-13,112.4,-18.937650113786333
2001-07-20,111.8,-16.836008152707677
2001-07-27,112.2,-49.703909062552555
2001-08-03,112.2,-40.58279424409807
2001-08-17,111.0,-31.01778288609529
2001-08-24,112.26,-50.88556622143801
2001-09-07,112.16,-44.876495585960356
2001-09-14,112.16,-41.854291427996884
