iter	RMSE
0	63.023329
1	60.69619416
2	58.170153
3	55.80904404
4	53.60078727
5	51.43363222
6	49.653505
7	47.93818401
8	45.97340126
9	44.42602287
10	43.00832206
11	41.35178296
12	39.63208504
13	38.12798779
14	36.72481844
15	35.40965264
16	34.12049409
17	32.98476081
18	31.83163377
19	30.73286495
20	29.5006379
21	28.49243932
22	27.54975206
23	26.64580707
24	25.66977726
25	24.88405751
26	23.9656557
27	23.24500142
28	22.5744737
29	21.81703854
30	21.09528875
31	20.4959636
32	19.90464227
33	19.22030471
34	18.65494061
35	18.07375427
36	17.4897342
37	16.9531393
38	16.5065413
39	16.15925897
40	15.74769229
41	15.33654144
42	14.86813888
43	14.47328134
44	14.12196024
45	13.79040849
46	13.54455783
47	13.25839488
48	12.99166895
49	12.68653198
50	12.37783636
51	12.19904822
52	11.96608191
53	11.77094388
54	11.59240671
55	11.38938979
56	11.21827174
57	10.99818321
58	10.80490121
59	10.7080772
60	10.55207416
61	10.38805947
62	10.25578826
63	10.16516555
64	10.08169201
65	9.987347013
66	9.863629752
67	9.76586693
68	9.680805763
69	9.569443176
70	9.497655597
71	9.394040584
72	9.297005845
73	9.136249323
74	9.064988431
75	8.994720449
76	8.950254022
77	8.872909245
78	8.822401514
79	8.768691342
80	8.698646535
81	8.652125934
82	8.607038263
83	8.539164766
84	8.507675059
85	8.464434961
86	8.42442751
87	8.385988781
88	8.216745515
89	8.160263883
90	8.136389638
91	8.103061559
92	8.068012351
93	7.940098791
94	7.934706308
95	7.900239347
96	7.880800236
97	7.853277011
98	7.82527949
99	7.796693138
100	7.750602975
101	7.616712561
102	7.593511803
103	7.56603207
104	7.559877546
105	7.543873577
106	7.531934881
107	7.490203719
108	7.462287816
109	7.433301454
110	7.407688027
111	7.386604973
112	7.36454902
113	7.35270719
114	7.339097011
115	7.319863691
116	7.301121196
117	7.280241609
118	7.267794524
119	7.234250183
120	7.221222378
121	7.175137023
122	7.153282242
123	7.14032983
124	7.119020476
125	7.032847232
126	7.020134124
127	7.007954469
128	6.983605521
129	6.950535058
130	6.91409754
131	6.868129201
132	6.849935574
133	6.840934698
134	6.82918726
135	6.802274236
136	6.785616218
137	6.770470844
138	6.756999684
139	6.749297759
140	6.732757661
141	6.708443227
142	6.677788947
143	6.662622819
144	6.637043449
145	6.629952395
146	6.606408278
147	6.585247836
148	6.567914753
149	6.560717399
150	6.555352544
151	6.548870436
152	6.476365772
153	6.468765545
154	6.370000939
155	6.35537741
156	6.336143502
157	6.322650673
158	6.29188652
159	6.27530999
160	6.268193989
161	6.216942096
162	6.204124736
163	6.18419663
164	6.162773196
165	6.144687112
166	6.138933806
167	6.101821241
168	6.070333231
169	6.058857116
170	6.034178664
171	5.994686169
172	5.987780321
173	5.979836653
174	5.952284268
175	5.944880998
176	5.907035906
177	5.896118455
178	5.888236925
179	5.872262679
180	5.852184706
181	5.846615735
182	5.833868353
183	5.828851415
184	5.814670435
185	5.801163447
186	5.788421125
187	5.775881949
188	5.744022604
189	5.726935463
190	5.713100148
191	5.697118273
192	5.682773931
193	5.667047706
194	5.656134709
195	5.651025232
196	5.637855555
197	5.633000869
198	5.618660391
199	5.60138074
