iter	Passed	Remaining
0	52	10351
1	52	5218
2	53	3504
3	54	2646
4	54	2130
5	55	1784
6	55	1537
7	56	1352
8	56	1208
9	57	1093
10	58	998
11	58	919
12	59	852
13	59	795
14	60	745
15	60	701
16	61	662
17	62	628
18	62	598
19	63	571
20	64	545
21	64	522
22	65	501
23	65	482
24	66	464
25	66	447
26	67	432
27	67	417
28	68	404
29	69	391
30	69	379
31	70	368
32	70	358
33	71	349
34	72	339
35	72	330
36	73	322
37	73	314
38	74	306
39	74	299
40	75	292
41	75	285
42	76	279
43	77	273
44	77	267
45	78	261
46	78	256
47	79	251
48	79	246
49	80	241
50	81	236
51	81	232
52	82	228
53	82	223
54	83	219
55	83	215
56	84	211
57	85	208
58	85	205
59	86	202
60	87	199
61	88	196
62	88	192
63	89	189
64	89	186
65	90	184
66	91	181
67	92	178
68	92	176
69	93	173
70	94	170
71	94	168
72	95	165
73	95	163
74	96	160
75	97	158
76	97	156
77	98	153
78	98	151
79	99	149
80	100	147
81	100	144
82	101	142
83	101	140
84	102	138
85	103	136
86	103	134
87	104	132
88	104	130
89	105	128
90	105	126
91	106	124
92	106	123
93	107	121
94	108	119
95	108	117
96	109	115
97	109	113
98	110	112
99	110	110
100	111	108
101	111	107
102	112	105
103	112	103
104	113	102
105	113	100
106	114	99
107	114	97
108	115	96
109	115	94
110	116	93
111	117	91
112	117	90
113	118	89
114	118	87
115	119	86
116	119	84
117	120	83
118	120	82
119	121	80
120	121	79
121	122	78
122	122	76
123	123	75
124	123	74
125	124	73
126	124	71
127	125	70
128	126	69
129	126	68
130	127	66
131	127	65
132	128	64
133	128	63
134	129	62
135	129	61
136	130	59
137	130	58
138	131	57
139	131	56
140	132	55
141	133	54
142	134	53
143	134	52
144	135	51
145	136	50
146	136	49
147	137	48
148	137	47
149	138	46
150	138	44
151	139	43
152	139	42
153	140	41
154	140	40
155	141	39
156	141	38
157	142	37
158	142	36
159	143	35
160	143	34
161	144	33
162	144	32
163	145	31
164	145	30
165	146	30
166	147	29
167	148	28
168	148	27
169	149	26
170	149	25
171	150	24
172	150	23
173	151	22
174	151	21
175	152	20
176	152	19
177	153	18
178	153	18
179	154	17
180	155	16
181	155	15
182	156	14
183	156	13
184	157	12
185	157	11
186	158	10
187	158	10
188	159	9
189	159	8
190	160	7
191	160	6
192	161	5
193	162	5
194	162	4
195	163	3
196	163	2
197	164	1
198	164	0
199	165	0
