iter	RMSE
0	307.7642911
1	281.8234401
2	259.1440451
3	239.2019812
4	219.7700213
5	205.405678
6	191.2815053
7	175.3022485
8	161.0110732
9	149.4722797
10	137.6886043
11	127.3110606
12	117.368955
13	109.1661235
14	102.0938473
15	95.03591425
16	88.98754371
17	84.38244315
18	79.37655184
19	74.89884316
20	70.68971477
21	67.83643886
22	64.68370071
23	61.74781454
24	59.79640367
25	57.74920136
26	55.43408702
27	53.65441961
28	51.59360247
29	50.12435875
30	48.44150244
31	46.53729324
32	45.466874
33	44.45296622
34	43.4705066
35	41.82229401
36	40.82444998
37	40.10016562
38	38.87571211
39	38.20796841
40	37.55854453
41	37.16951297
42	36.51070862
43	35.97955537
44	35.40949139
45	35.22013857
46	34.71306014
47	34.49050368
48	34.31482641
49	33.84994667
50	33.56811662
51	32.70783791
52	32.47933444
53	32.06010855
54	31.74414587
55	31.42819614
56	30.91419334
57	30.77451027
58	30.68540017
59	30.59253867
60	30.38418017
61	30.20140347
62	29.84231157
63	29.69769644
64	29.57289134
65	29.24199715
66	29.1223532
67	28.99359848
68	28.91252984
69	28.62315015
70	28.45047152
71	28.3465558
72	28.10911912
73	27.97947425
74	27.84281422
75	27.74379953
76	27.53360212
77	27.38307418
78	27.2063958
79	27.11070382
80	27.01332441
81	26.92736291
82	26.71272036
83	26.62916874
84	26.55209509
85	26.48600926
86	26.04840981
87	25.88754628
88	25.716459
89	25.52655671
90	25.4500153
91	25.30219828
92	25.24607168
93	25.18951732
94	25.11888475
95	24.81707702
96	24.68594188
97	24.57849159
98	24.23306741
99	24.17776242
100	23.80661512
101	23.67666467
102	23.48004257
103	23.33833322
104	23.05510869
105	22.85153279
106	22.58259934
107	22.48958051
108	22.42224298
109	22.19152957
110	22.09392563
111	21.94041142
112	21.83736455
113	21.56438522
114	21.38833672
115	21.21692757
116	21.12757978
117	20.93867969
118	20.84488801
119	20.76181669
120	20.71820635
121	20.62266469
122	20.49497759
123	20.3973186
124	20.27035888
125	20.08986364
126	19.88653495
127	19.79605613
128	19.74974272
129	19.60235271
130	19.46734747
131	19.39689263
132	19.32035155
133	19.25836187
134	19.21839089
135	19.16010778
136	19.0059588
137	18.88266917
138	18.83760247
139	18.73632731
140	18.50665376
141	18.41021059
142	18.36752551
143	18.21790365
144	18.06583154
145	17.97158367
146	17.86479129
147	17.78483051
148	17.6297276
149	17.50304234
150	17.43371959
151	17.33639197
152	17.30103517
153	17.13925454
154	17.049461
155	16.9592599
156	16.83197527
157	16.71635891
158	16.63842603
159	16.5797053
160	16.53750116
161	16.39894848
162	16.29191836
163	16.20337225
164	16.09162262
165	16.03618799
166	15.96319259
167	15.91397408
168	15.83577676
169	15.70438688
170	15.57089804
171	15.48851132
172	15.40457165
173	15.36556222
174	15.28045168
175	15.20245377
176	15.09962488
177	15.00598065
178	14.93314318
179	14.86744375
180	14.80037024
181	14.70441316
182	14.65087304
183	14.55706837
184	14.49037673
185	14.43361995
186	14.35885759
187	14.31196191
188	14.26791848
189	14.18724886
190	14.13308163
191	14.08976787
192	14.0355817
193	13.97825902
194	13.88778053
195	13.84357123
196	13.79335068
197	13.752216
198	13.66338523
199	13.60699944
