iter	Passed	Remaining
0	53	10582
1	54	5419
2	57	3765
3	59	2936
4	60	2377
5	61	1997
6	62	1725
7	63	1523
8	64	1367
9	65	1252
10	67	1151
11	67	1063
12	68	989
13	69	927
14	70	872
15	71	826
16	72	782
17	73	743
18	74	708
19	75	676
20	76	647
21	77	624
22	78	600
23	78	579
24	80	561
25	81	544
26	82	527
27	83	511
28	84	496
29	85	482
30	86	469
31	86	456
32	88	446
33	89	435
34	90	425
35	91	415
36	92	407
37	93	398
38	94	389
39	95	383
40	96	375
41	98	369
42	99	361
43	100	355
44	101	347
45	101	340
46	102	334
47	104	329
48	104	323
49	105	317
50	106	312
51	107	306
52	108	301
53	110	297
54	111	292
55	112	288
56	113	283
57	113	278
58	114	274
59	115	269
60	116	265
61	117	261
62	119	259
63	120	255
64	120	251
65	121	247
66	122	243
67	123	239
68	124	236
69	125	233
70	126	229
71	127	226
72	128	222
73	128	219
74	129	216
75	130	213
76	131	209
77	132	206
78	133	203
79	134	201
80	134	198
81	135	195
82	136	192
83	137	189
84	138	187
85	139	184
86	140	182
87	142	181
88	145	180
89	148	181
90	149	179
91	150	177
92	151	174
93	152	172
94	154	170
95	154	167
96	155	165
97	156	163
98	157	160
99	158	158
100	159	156
101	160	154
102	161	152
103	162	149
104	163	147
105	164	145
106	165	143
107	166	141
108	166	139
109	167	137
110	168	135
111	169	133
112	170	131
113	171	129
114	172	127
115	173	125
116	173	123
117	174	121
118	175	119
119	176	117
120	177	115
121	178	114
122	179	112
123	180	110
124	181	108
125	182	107
126	183	105
127	184	103
128	185	101
129	186	100
130	186	98
131	187	96
132	189	95
133	190	93
134	191	92
135	192	90
136	193	89
137	194	87
138	195	85
139	196	84
140	197	82
141	198	81
142	199	79
143	200	77
144	200	76
145	201	74
146	202	73
147	203	71
148	204	69
149	205	68
150	206	66
151	207	65
152	207	63
153	208	62
154	209	60
155	210	59
156	211	57
157	212	56
158	213	54
159	214	53
160	214	52
161	215	50
162	216	49
163	218	47
164	219	46
165	219	45
166	220	43
167	221	42
168	222	40
169	223	39
170	224	38
171	225	36
172	226	35
173	227	33
174	228	32
175	228	31
176	229	29
177	230	28
178	232	27
179	233	25
180	236	24
181	238	23
182	240	22
183	241	21
184	243	19
185	244	18
186	245	17
187	247	15
188	247	14
189	248	13
190	249	11
191	250	10
192	251	9
193	252	7
194	253	6
195	253	5
196	254	3
197	255	2
198	256	1
199	257	0
